station,date,obs,pred
다사,2018-03-26,34.4,26.489944458007812
다사,2018-09-27,13.300000000000002,10.774893760681152
다사,2018-10-02,9.000000000000002,10.0162992477417
다사,2019-12-16,31.699999999999996,26.527313232421875
다사,2020-10-26,26.000000000000004,29.269161224365234
다사,2020-11-30,18.600000000000005,11.694217681884766
다사,2021-11-15,9.3,6.0068230628967285
다사,2021-12-20,10.699999999999998,10.47391414642334
다사,2022-02-03,11.3,14.080268859863281
다사,2022-04-04,22.4,20.516021728515625
다사,2022-10-11,33.6,28.645320892333984
다사,2022-10-31,1.9,21.625823974609375
다사,2023-10-16,29.500000000000004,25.727190017700195
다사,2023-11-20,7.400000000000001,7.189563751220703
다사,2024-05-13,11.499999999999998,15.493671417236328
다사,2024-12-09,12.700000000000001,12.521814346313477
다사,2025-08-18,36.0,36.510581970214844
달성,2017-09-12,44.99999999999999,17.33445167541504
달성,2018-05-15,11.7,23.141687393188477
달성,2019-01-15,7.900000000000002,13.450578689575195
달성,2020-04-14,27.8,16.573686599731445
달성,2020-11-10,5.1,7.233768463134766
달성,2021-03-10,29.400000000000002,34.68655776977539
달성,2021-06-08,11.9,14.9568510055542
달성,2022-02-08,12.0,19.457191467285156
달성,2023-05-09,6.299999999999999,6.789266109466553
달성,2023-10-11,24.8,27.87085723876953
달성,2024-09-10,8.8,12.482312202453613
대암리,2017-03-21,40.49999999999999,35.62208557128906
대암리,2017-11-21,4.1,8.195379257202148
대암리,2018-05-15,19.600000000000005,18.285247802734375
대암리,2018-07-24,8.8,20.84461784362793
대암리,2018-10-02,10.4,8.078737258911133
대암리,2018-11-06,46.099999999999994,33.21700668334961
대암리,2019-01-15,9.500000000000002,16.981674194335938
대암리,2019-09-17,37.99999999999999,33.892913818359375
대암리,2019-10-22,14.1,8.729848861694336
대암리,2020-06-08,9.600000000000001,10.019396781921387
대암리,2020-10-06,45.70000000000001,30.94717788696289
대암리,2020-10-26,42.400000000000006,36.32337951660156
대암리,2021-06-08,6.4,5.816588878631592
대암리,2021-11-15,13.099999999999998,13.198689460754395
대암리,2022-04-19,21.200000000000003,10.39692211151123
대암리,2022-05-24,6.200000000000001,12.129682540893555
대암리,2022-08-22,9.400000000000002,12.265332221984863
대암리,2022-10-11,27.0,40.73966598510742
대암리,2022-11-15,6.499999999999999,11.303781509399414
대암리,2023-01-19,8.9,9.142189979553223
대암리,2023-02-08,12.0,17.05076026916504
대암리,2023-11-15,42.7,39.51517105102539
대암리,2024-09-10,8.5,34.19140625
대암리,2024-09-25,3.5999999999999996,24.976980209350586
대암리,2024-12-04,21.200000000000003,15.290660858154297
대암리,2025-04-08,18.9,8.97799301147461
덕곡,2017-04-10,32.0,20.450109481811523
덕곡,2017-08-28,17.899999999999995,35.87712478637695
덕곡,2017-09-12,34.20000000000001,37.985679626464844
덕곡,2017-12-11,11.4,10.64786434173584
덕곡,2017-12-26,12.4,10.895854949951172
덕곡,2018-01-15,19.4,17.92279052734375
덕곡,2018-02-19,28.9,15.490843772888184
덕곡,2018-03-06,36.599999999999994,47.256900787353516
덕곡,2018-03-26,61.39999999999997,49.16805648803711
덕곡,2018-04-30,62.09999999999999,17.286102294921875
덕곡,2018-06-04,9.400000000000002,18.967195510864258
덕곡,2018-08-13,62.99999999999999,29.780426025390625
덕곡,2018-11-26,26.8,14.636200904846191
덕곡,2019-04-15,15.400000000000002,16.450437545776367
덕곡,2019-12-16,29.400000000000002,38.91397476196289
덕곡,2020-06-08,11.4,10.432024955749512
덕곡,2020-10-26,46.49999999999999,36.44258499145508
덕곡,2020-11-30,6.1,6.822570323944092
덕곡,2021-01-04,24.1,22.13397789001465
덕곡,2021-02-08,36.3,30.195890426635742
덕곡,2021-03-15,60.8,34.780582427978516
덕곡,2021-11-15,9.8,9.6605806350708
덕곡,2021-12-20,11.9,11.696375846862793
덕곡,2022-04-04,34.099999999999994,21.005399703979492
덕곡,2022-05-09,1.4,6.52465295791626
덕곡,2022-10-11,40.39999999999999,40.883811950683594
덕곡,2022-10-31,3.4,19.76466178894043
덕곡,2023-03-20,9.400000000000002,9.308222770690918
덕곡,2023-09-11,11.199999999999998,15.014680862426758
덕곡,2023-11-20,7.400000000000001,6.291396617889404
덕곡,2024-02-13,24.500000000000004,19.596086502075195
덕곡,2024-03-04,27.9,17.338085174560547
덕곡,2024-05-13,10.699999999999998,9.85351848602295
덕곡,2024-08-26,15.699999999999998,28.07597541809082
덕곡,2024-11-19,12.599999999999996,12.019610404968262
덕곡,2025-01-13,16.400000000000002,7.625026702880859
덕곡,2025-03-24,23.500000000000004,18.400123596191406
덕곡,2025-04-28,1.8,7.942320823669434
덕곡,2025-07-29,15.900000000000004,35.80964660644531
덕곡,2025-08-18,12.1,42.32795333862305
물금,2016-11-01,44.400000000000006,34.62641906738281
물금,2017-12-26,32.89999999999999,17.566543579101562
물금,2018-01-15,18.300000000000004,16.739078521728516
물금,2018-05-15,10.9,15.431374549865723
물금,2018-09-27,24.400000000000002,11.112700462341309
물금,2018-10-02,12.500000000000002,13.738966941833496
물금,2018-11-06,35.79999999999999,38.74687194824219
물금,2018-11-26,42.89999999999999,25.82190704345703
물금,2019-01-15,43.9,29.610898971557617
물금,2019-04-15,6.200000000000001,7.426952362060547
물금,2019-12-16,8.100000000000001,9.404584884643555
물금,2020-06-08,14.799999999999997,20.570749282836914
물금,2020-10-06,38.599999999999994,43.1643180847168
물금,2020-10-26,8.3,13.819826126098633
물금,2021-01-04,12.4,10.287832260131836
물금,2021-02-08,45.79999999999999,38.24204635620117
물금,2021-06-08,25.899999999999995,15.52663803100586
물금,2021-12-20,6.1,6.2583699226379395
물금,2022-04-19,7.599999999999998,7.135411739349365
물금,2022-05-24,35.9,16.20676040649414
물금,2022-08-22,67.79999999999997,63.183231353759766
물금,2022-10-11,14.799999999999997,15.137407302856445
물금,2022-11-15,8.2,7.143041610717773
물금,2023-03-20,12.1,11.395844459533691
물금,2023-05-09,2.8,10.568061828613281
물금,2023-10-11,61.7,66.49192810058594
물금,2023-10-16,63.2,48.92900848388672
물금,2023-11-20,5.700000000000001,9.152627944946289
물금,2024-01-29,38.99999999999999,31.253442764282227
물금,2024-03-04,36.0,33.12218475341797
물금,2024-05-13,22.000000000000004,21.959196090698242
물금,2024-09-10,35.199999999999996,38.33665084838867
물금,2024-12-04,11.3,9.972186088562012
물금,2024-12-09,12.799999999999999,21.13827133178711
물금,2025-01-13,30.299999999999997,12.559751510620117
물금,2025-04-28,2.4,7.565195560455322
